Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.16
load ops/sec: 3105590
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 296727 reads, 0 truncates, 296726 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (238 total secs)
0 inserts, 0 modifies, 280014 reads, 0 truncates, 280013 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (240 total secs)
0 inserts, 0 modifies, 290177 reads, 0 truncates, 290179 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (242 total secs)
0 inserts, 0 modifies, 283465 reads, 0 truncates, 283463 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (244 total secs)
0 inserts, 0 modifies, 244316 reads, 0 truncates, 244316 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (246 total secs)
0 inserts, 0 modifies, 209040 reads, 0 truncates, 209041 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (248 total secs)
0 inserts, 0 modifies, 298760 reads, 0 truncates, 298760 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (250 total secs)
0 inserts, 0 modifies, 279119 reads, 0 truncates, 279121 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (252 total secs)
0 inserts, 0 modifies, 295733 reads, 0 truncates, 295729 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (254 total secs)
0 inserts, 0 modifies, 231433 reads, 0 truncates, 231435 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (256 total secs)
0 inserts, 0 modifies, 285922 reads, 0 truncates, 285920 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (258 total secs)
0 inserts, 0 modifies, 256621 reads, 0 truncates, 256622 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (260 total secs)
0 inserts, 0 modifies, 296125 reads, 0 truncates, 296126 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (262 total secs)
0 inserts, 0 modifies, 316156 reads, 0 truncates, 316154 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (264 total secs)
0 inserts, 0 modifies, 171178 reads, 0 truncates, 171180 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (266 total secs)
0 inserts, 0 modifies, 315776 reads, 0 truncates, 315777 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (268 total secs)
0 inserts, 0 modifies, 301213 reads, 0 truncates, 301213 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (270 total secs)
0 inserts, 0 modifies, 293701 reads, 0 truncates, 293701 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (272 total secs)
0 inserts, 0 modifies, 279219 reads, 0 truncates, 279217 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (274 total secs)
0 inserts, 0 modifies, 222649 reads, 0 truncates, 222650 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (276 total secs)
0 inserts, 0 modifies, 316451 reads, 0 truncates, 316451 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (278 total secs)
0 inserts, 0 modifies, 240434 reads, 0 truncates, 240435 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (280 total secs)
0 inserts, 0 modifies, 283567 reads, 0 truncates, 283565 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (282 total secs)
0 inserts, 0 modifies, 314216 reads, 0 truncates, 314217 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (284 total secs)
0 inserts, 0 modifies, 242355 reads, 0 truncates, 242354 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (286 total secs)
0 inserts, 0 modifies, 252200 reads, 0 truncates, 252201 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (288 total secs)
0 inserts, 0 modifies, 304100 reads, 0 truncates, 304100 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (290 total secs)
0 inserts, 0 modifies, 315500 reads, 0 truncates, 315500 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (292 total secs)
0 inserts, 0 modifies, 321566 reads, 0 truncates, 321566 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (294 total secs)
0 inserts, 0 modifies, 264850 reads, 0 truncates, 264849 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (296 total secs)
