Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.17
load ops/sec: 2923976
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 316039 reads, 0 truncates, 316037 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (210 total secs)
0 inserts, 0 modifies, 306924 reads, 0 truncates, 306925 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (212 total secs)
0 inserts, 0 modifies, 217896 reads, 0 truncates, 217896 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (214 total secs)
0 inserts, 0 modifies, 271427 reads, 0 truncates, 271430 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (216 total secs)
0 inserts, 0 modifies, 310040 reads, 0 truncates, 310036 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (218 total secs)
0 inserts, 0 modifies, 320368 reads, 0 truncates, 320371 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (220 total secs)
0 inserts, 0 modifies, 90585 reads, 0 truncates, 90584 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (222 total secs)
0 inserts, 0 modifies, 318765 reads, 0 truncates, 318765 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (224 total secs)
0 inserts, 0 modifies, 267652 reads, 0 truncates, 267652 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (226 total secs)
0 inserts, 0 modifies, 268048 reads, 0 truncates, 268050 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (228 total secs)
0 inserts, 0 modifies, 298188 reads, 0 truncates, 298185 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (230 total secs)
0 inserts, 0 modifies, 259221 reads, 0 truncates, 259221 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (232 total secs)
0 inserts, 0 modifies, 318138 reads, 0 truncates, 318139 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (234 total secs)
0 inserts, 0 modifies, 278494 reads, 0 truncates, 278493 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (236 total secs)
0 inserts, 0 modifies, 316127 reads, 0 truncates, 316129 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (238 total secs)
0 inserts, 0 modifies, 318265 reads, 0 truncates, 318262 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (240 total secs)
0 inserts, 0 modifies, 88604 reads, 0 truncates, 88606 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (242 total secs)
0 inserts, 0 modifies, 323708 reads, 0 truncates, 323707 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (244 total secs)
0 inserts, 0 modifies, 304576 reads, 0 truncates, 304576 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (246 total secs)
0 inserts, 0 modifies, 324165 reads, 0 truncates, 324166 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (248 total secs)
0 inserts, 0 modifies, 314973 reads, 0 truncates, 314973 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (250 total secs)
0 inserts, 0 modifies, 275424 reads, 0 truncates, 275423 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (252 total secs)
0 inserts, 0 modifies, 321409 reads, 0 truncates, 321410 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (254 total secs)
0 inserts, 0 modifies, 319206 reads, 0 truncates, 319206 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (256 total secs)
0 inserts, 0 modifies, 291494 reads, 0 truncates, 291492 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (258 total secs)
0 inserts, 0 modifies, 318149 reads, 0 truncates, 318151 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (260 total secs)
0 inserts, 0 modifies, 271228 reads, 0 truncates, 271229 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (262 total secs)
0 inserts, 0 modifies, 297870 reads, 0 truncates, 297869 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (264 total secs)
0 inserts, 0 modifies, 224050 reads, 0 truncates, 224049 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (266 total secs)
0 inserts, 0 modifies, 323482 reads, 0 truncates, 323484 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (268 total secs)
0 inserts, 0 modifies, 262182 reads, 0 truncates, 262181 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (270 total secs)
0 inserts, 0 modifies, 288796 reads, 0 truncates, 288796 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (272 total secs)
0 inserts, 0 modifies, 320025 reads, 0 truncates, 320024 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (274 total secs)
0 inserts, 0 modifies, 290847 reads, 0 truncates, 290847 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (276 total secs)
0 inserts, 0 modifies, 288590 reads, 0 truncates, 288592 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (278 total secs)
0 inserts, 0 modifies, 232619 reads, 0 truncates, 232618 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (280 total secs)
0 inserts, 0 modifies, 289467 reads, 0 truncates, 289467 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (282 total secs)
0 inserts, 0 modifies, 324099 reads, 0 truncates, 324097 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (284 total secs)
0 inserts, 0 modifies, 233826 reads, 0 truncates, 233828 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (286 total secs)
0 inserts, 0 modifies, 319720 reads, 0 truncates, 319721 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (288 total secs)
0 inserts, 0 modifies, 322898 reads, 0 truncates, 322897 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (290 total secs)
0 inserts, 0 modifies, 224115 reads, 0 truncates, 224117 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (292 total secs)
0 inserts, 0 modifies, 319587 reads, 0 truncates, 319586 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (294 total secs)
0 inserts, 0 modifies, 220575 reads, 0 truncates, 220574 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (296 total secs)
0 inserts, 0 modifies, 215906 reads, 0 truncates, 215905 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (298 total secs)
0 inserts, 0 modifies, 317055 reads, 0 truncates, 317055 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (300 total secs)
0 inserts, 0 modifies, 247054 reads, 0 truncates, 247054 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (302 total secs)
0 inserts, 0 modifies, 321722 reads, 0 truncates, 321722 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (304 total secs)
0 inserts, 0 modifies, 276383 reads, 0 truncates, 276383 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (306 total secs)
0 inserts, 0 modifies, 304224 reads, 0 truncates, 304226 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (308 total secs)
0 inserts, 0 modifies, 317198 reads, 0 truncates, 317196 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (310 total secs)
0 inserts, 0 modifies, 187159 reads, 0 truncates, 187159 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (312 total secs)
0 inserts, 0 modifies, 321463 reads, 0 truncates, 321464 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (314 total secs)
0 inserts, 0 modifies, 281861 reads, 0 truncates, 281862 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (316 total secs)
0 inserts, 0 modifies, 314783 reads, 0 truncates, 314781 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (318 total secs)
0 inserts, 0 modifies, 315619 reads, 0 truncates, 315619 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (320 total secs)
0 inserts, 0 modifies, 213267 reads, 0 truncates, 213268 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (322 total secs)
0 inserts, 0 modifies, 310796 reads, 0 truncates, 310797 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (324 total secs)
0 inserts, 0 modifies, 308425 reads, 0 truncates, 308424 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (326 total secs)
0 inserts, 0 modifies, 309373 reads, 0 truncates, 309372 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (328 total secs)
0 inserts, 0 modifies, 314572 reads, 0 truncates, 314572 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (330 total secs)
0 inserts, 0 modifies, 162933 reads, 0 truncates, 162935 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (332 total secs)
0 inserts, 0 modifies, 287888 reads, 0 truncates, 287886 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (334 total secs)
0 inserts, 0 modifies, 290612 reads, 0 truncates, 290612 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (336 total secs)
0 inserts, 0 modifies, 286713 reads, 0 truncates, 286715 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (338 total secs)
0 inserts, 0 modifies, 160802 reads, 0 truncates, 160802 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (340 total secs)
0 inserts, 0 modifies, 267297 reads, 0 truncates, 267295 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (342 total secs)
