Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.17
load ops/sec: 2923976
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 222522 reads, 0 truncates, 222522 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (222 total secs)
0 inserts, 0 modifies, 225465 reads, 0 truncates, 225466 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (224 total secs)
0 inserts, 0 modifies, 223243 reads, 0 truncates, 223241 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (226 total secs)
0 inserts, 0 modifies, 225527 reads, 0 truncates, 225530 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (228 total secs)
0 inserts, 0 modifies, 222482 reads, 0 truncates, 222482 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (230 total secs)
0 inserts, 0 modifies, 221202 reads, 0 truncates, 221202 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (232 total secs)
0 inserts, 0 modifies, 226685 reads, 0 truncates, 226683 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (234 total secs)
0 inserts, 0 modifies, 229151 reads, 0 truncates, 229153 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (236 total secs)
0 inserts, 0 modifies, 184682 reads, 0 truncates, 184681 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (238 total secs)
0 inserts, 0 modifies, 225425 reads, 0 truncates, 225424 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (240 total secs)
0 inserts, 0 modifies, 127180 reads, 0 truncates, 127181 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (242 total secs)
0 inserts, 0 modifies, 220507 reads, 0 truncates, 220508 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (244 total secs)
0 inserts, 0 modifies, 228822 reads, 0 truncates, 228822 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (246 total secs)
0 inserts, 0 modifies, 149284 reads, 0 truncates, 149284 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (248 total secs)
